 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
אבו ג'ווייעד (שבט, 0000967, 0001443, 0000217, 0000011, 0000206, 0000002, 0000000, 0000013, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000000, 0000177, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000004
אבו גוש, 0000472, 0003889, 0001844, 0000079, 0001765, 0000118, 0000007, 0000644, 0000000, 0000002, 0000000, 0000099, 0000000, 0000000, 0000001, 0000009, 0000000, 0000002, 0000081, 0000063, 0000000, 0000002, 0000004, 0000000, 0000547, 0000001, 0000019, 0000003, 0000000, 0000000, 0000003, 0000003, 0000007, 0000031, 0000004, 0000004, 0000004, 0000001, 0000106
אבו סנאן, 0000473, 0007886, 0004732, 0000065, 0004667, 0000221, 0000003, 0000372, 0000001, 0000005, 0000001, 0001594, 0000004, 0000000, 0000004, 0000010, 0000001, 0000188, 0000251, 0000035, 0000003, 0000000, 0000003, 0000002, 0001206, 0000002, 0000052, 0000003, 0000004, 0000000, 0000002, 0000004, 0000007, 0000292, 0000002, 0000015, 0000008, 0000006, 0000366
אבו עבדון (שבט), 0000958, 0000106, 0000069, 0000000, 0000069, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000000, 0000060, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000
אבו קורינאת (שבט), 0000968, 0002386, 0000660, 0000010, 0000650, 0000005, 0000000, 0000045, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000001, 0000004, 0000000, 0000000, 0000008, 0000006, 0000000, 0000001, 0000001, 0000000, 0000465, 0000000, 0000003, 0000000, 0000001, 0000000, 0000002, 0000002, 0000000, 0000002, 0000001, 0000006, 0000003, 0000005, 0000079
אבו קרינאת (יישוב, 0001342, 0000135, 0000059, 0000005, 0000054, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000029, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000022
אבו רובייעה (שבט), 0000966, 0003095, 0000488, 0000012, 0000476, 0000017, 0000001, 0000067, 0000001, 0000000, 0000000, 0000006, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000002, 0000008, 0000000, 0000000, 0000003, 0000002, 0000285, 0000001, 0000002, 0000001, 0000001, 0000000, 0000003, 0000004, 0000009, 0000004, 0000004, 0000001, 0000001, 0000000, 0000051
אבו רוקייק (שבט), 0000961, 0003747, 0001021, 0000022, 0000999, 0000006, 0000003, 0000105, 0000002, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000006, 0000004, 0000000, 0000000, 0000001, 0000001, 0000808, 0000001, 0000005, 0000002, 0000001, 0000000, 0000002, 0000001, 0000004, 0000004, 0000007, 0000003, 0000003, 0000004, 0000017
אבטין, 0000652, 0001533, 0000632, 0000014, 0000618, 0000010, 0000002, 0000248, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000001, 0000000, 0000006, 0000006, 0000016, 0000000, 0000000, 0000000, 0000000, 0000274, 0000001, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000010, 0000002, 0000000, 0000000, 0000000, 0000018
אבטליון, 0001275, 0000190, 0000147, 0000001, 0000146, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000008, 0000000, 0000000, 0000005, 0000000, 0000003, 0000015, 0000016, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000025, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000014, 0000000, 0000000, 0000002, 0000000, 0000000
אביאל, 0000679, 0000493, 0000400, 0000000, 0000400, 0000070, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000020, 0000000, 0000001, 0000013, 0000000, 0000009, 0000084, 0000038, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000106, 0000001, 0000001, 0000000, 0000000, 0000000, 0000004, 0000035, 0000000, 0000000, 0000009, 0000005, 0000001
אביבים, 0001115, 0000315, 0000200, 0000002, 0000198, 0000004, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000027, 0000000, 0000007, 0000070, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000002, 0000000, 0000000, 0000003, 0000000, 0000074
